Date,Product,Production,Sold,Revenue
2023-01-05,Omega Orb,235,190,78754.1
2023-01-05,Theta Tool,389,347,42817.59
2023-01-05,Zeta Zone,332,290,167274.74
2023-01-06,Alpha Widget,514,390,55953.14
2023-01-06,Beta Gadget,236,201,54036.61
2023-01-06,Camera,233,202,173006.33
2023-01-06,Delta Device,456,377,72068.23
2023-01-06,Epsilon Engine,276,209,299846.84
2023-01-06,Gamma Gizmo,238,178,17489.95
2023-01-06,Omega Orb,254,221,87955.65
2023-01-06,Theta Tool,513,407,50582.9
2023-01-06,Zeta Zone,495,412,248398.64
2023-01-07,Alpha Widget,303,266,38207.98
2023-01-07,Beta Gadget,274,258,73765.25
2023-01-07,Camera,557,468,365314.59
2023-01-07,Delta Device,330,296,58156.95
2023-01-07,Epsilon Engine,486,431,594998.3
2023-01-07,Gamma Gizmo,251,245,23907.6
2023-01-07,Omega Orb,363,341,146255.23
2023-01-07,Theta Tool,516,457,58243.25
2023-01-07,Zeta Zone,229,170,102771.68
2023-01-08,Alpha Widget,404,352,51113.76
2023-01-08,Beta Gadget,312,228,63447.44
2023-01-08,Camera,350,283,225277.51
2023-01-08,Delta Device,296,257,49742.08
2023-01-08,Epsilon Engine,269,242,351409.26
2023-01-08,Gamma Gizmo,269,250,24636.21
2023-01-08,Omega Orb,348,291,120149.49
2023-01-08,Theta Tool,261,233,27970.04
2023-01-08,Zeta Zone,477,359,203622.56
2023-01-09,Alpha Widget,210,159,24795.28
2023-01-09,Beta Gadget,364,347,98149.93
2023-01-09,Camera,445,322,275663.62
2023-01-09,Delta Device,363,329,64150.8
2023-01-09,Epsilon Engine,321,242,341770.73
2023-01-09,Gamma Gizmo,249,193,17942.71
2023-01-09,Omega Orb,385,289,113428.23
2023-01-09,Theta Tool,225,187,24002.81
2023-01-09,Zeta Zone,246,187,106938.96
2023-01-10,Alpha Widget,237,189,29547.36
2023-01-10,Beta Gadget,498,401,115335.38
2023-01-10,Camera,203,160,127647.93
2023-01-10,Delta Device,516,498,99527.13
2023-01-10,Epsilon Engine,402,311,438225.87
2023-01-10,Gamma Gizmo,191,162,15497.13
2023-01-10,Omega Orb,434,323,135108.81
2023-01-10,Theta Tool,476,371,48299.0
2023-01-10,Zeta Zone,339,261,144777.4
2023-01-11,Alpha Widget,377,337,51031.14
2023-01-11,Beta Gadget,363,338,91348.95
2023-01-11,Camera,293,208,169575.43
2023-01-11,Delta Device,369,276,53436.08
2023-01-11,Epsilon Engine,479,439,654892.15
2023-01-11,Gamma Gizmo,335,243,23869.31
2023-01-11,Omega Orb,199,154,62829.02
2023-01-11,Theta Tool,487,453,55624.76
2023-01-11,Zeta Zone,292,235,132425.98
2023-01-12,Alpha Widget,468,336,49041.25
2023-01-12,Beta Gadget,438,401,106728.87
2023-01-12,Camera,250,177,139069.04
2023-01-12,Delta Device,290,227,43438.58
2023-01-12,Epsilon Engine,307,293,437960.75
2023-01-12,Gamma Gizmo,239,226,20778.36
2023-01-12,Omega Orb,305,294,117043.02
2023-01-12,Theta Tool,415,384,46565.91
2023-01-12,Zeta Zone,300,222,130557.32
2023-01-13,Alpha Widget,415,385,57167.33
2023-01-13,Beta Gadget,384,280,79734.76
2023-01-13,Camera,471,441,350207.3
2023-01-13,Delta Device,458,426,81636.58
2023-01-13,Epsilon Engine,354,315,478866.67
2023-01-13,Gamma Gizmo,335,289,26912.35
2023-01-13,Omega Orb,365,302,125720.33
2023-01-13,Theta Tool,319,308,37945.21
2023-01-13,Zeta Zone,228,187,103188.1
2023-01-14,Alpha Widget,403,380,58450.67
2023-01-14,Beta Gadget,567,495,140812.82
2023-01-14,Camera,394,377,322402.74
2023-01-14,Delta Device,603,519,103941.89
2023-01-14,Epsilon Engine,397,298,427405.11
2023-01-14,Gamma Gizmo,550,456,43278.12
2023-01-14,Omega Orb,277,233,97061.18
2023-01-14,Theta Tool,344,276,35151.24
2023-01-14,Zeta Zone,261,254,142226.7
2023-01-15,Alpha Widget,482,453,68561.28
2023-01-15,Beta Gadget,507,475,135912.27
2023-01-15,Camera,389,325,277775.77
2023-01-15,Delta Device,464,428,81255.5
2023-01-15,Epsilon Engine,321,229,328187.79
2023-01-15,Gamma Gizmo,539,504,46822.89
2023-01-15,Omega Orb,233,198,78759.49
2023-01-15,Theta Tool,412,328,41805.54
2023-01-15,Zeta Zone,455,362,203644.89
2023-01-16,Alpha Widget,405,318,46958.01
2023-01-16,Beta Gadget,425,338,93784.82
2023-01-16,Camera,319,287,238511.81
2023-01-16,Delta Device,294,214,40484.61
2023-01-16,Epsilon Engine,464,343,500727.33
2023-01-16,Gamma Gizmo,233,224,21832.77
2023-01-16,Omega Orb,416,330,140630.14
2023-01-16,Theta Tool,481,391,50184.13
2023-01-16,Zeta Zone,521,470,284479.62
2023-01-17,Alpha Widget,202,172,25273.55
2023-01-17,Beta Gadget,288,278,74534.49
2023-01-17,Camera,263,234,197941.19
2023-01-17,Delta Device,441,368,69874.81
2023-01-17,Epsilon Engine,438,419,631950.08
2023-01-17,Gamma Gizmo,392,286,28360.33
2023-01-17,Omega Orb,466,361,152871.91
2023-01-17,Theta Tool,257,208,24708.21
2023-01-17,Zeta Zone,437,316,174391.21
2023-01-18,Alpha Widget,341,307,45098.47
2023-01-18,Beta Gadget,222,163,43958.32
2023-01-18,Camera,239,200,164113.06
2023-01-18,Delta Device,221,207,42363.86
2023-01-18,Epsilon Engine,411,350,519741.13
2023-01-18,Gamma Gizmo,363,263,26017.79
2023-01-18,Omega Orb,485,438,173173.26
2023-01-18,Theta Tool,432,398,49311.66
2023-01-18,Zeta Zone,245,229,136270.07
2023-01-19,Alpha Widget,285,269,39116.0
2023-01-19,Beta Gadget,500,438,120660.72
2023-01-19,Camera,472,332,278996.93
2023-01-19,Delta Device,322,291,54221.8
2023-01-19,Epsilon Engine,428,319,479329.18
2023-01-19,Gamma Gizmo,373,304,30090.54
2023-01-19,Omega Orb,345,257,105599.32
2023-01-19,Theta Tool,271,208,26101.31
2023-01-19,Zeta Zone,460,360,217309.06
2023-01-20,Alpha Widget,433,384,60280.18
2023-01-20,Beta Gadget,256,249,69023.2
2023-01-20,Camera,509,487,403473.9
2023-01-20,Delta Device,285,207,40856.84
2023-01-20,Epsilon Engine,237,198,296216.23
2023-01-20,Gamma Gizmo,340,239,21774.88
2023-01-20,Omega Orb,457,399,163683.97
2023-01-20,Theta Tool,387,345,41145.44
2023-01-20,Zeta Zone,235,218,129932.09
2023-01-21,Alpha Widget,431,307,45438.03
2023-01-21,Beta Gadget,247,213,57221.25
2023-01-21,Camera,566,453,355882.43
2023-01-21,Delta Device,516,453,89969.43
2023-01-21,Epsilon Engine,480,384,534967.12
2023-01-21,Gamma Gizmo,400,322,30609.83
2023-01-21,Omega Orb,566,469,199591.53
2023-01-21,Theta Tool,249,213,25870.89
2023-01-21,Zeta Zone,512,490,292302.18
2023-01-22,Alpha Widget,308,223,32035.62
2023-01-22,Beta Gadget,365,283,74983.28
2023-01-22,Camera,377,285,234908.41
2023-01-22,Delta Device,345,308,57435.54
2023-01-22,Epsilon Engine,419,293,442681.25
2023-01-22,Gamma Gizmo,307,298,28169.69
2023-01-22,Omega Orb,444,410,169700.32
2023-01-22,Theta Tool,453,377,46944.43
2023-01-22,Zeta Zone,281,215,128169.7
2023-01-23,Alpha Widget,315,238,34904.5
2023-01-23,Beta Gadget,238,212,59709.18
2023-01-23,Camera,248,182,143483.24
2023-01-23,Delta Device,413,378,74120.37
2023-01-23,Epsilon Engine,275,204,286985.16
2023-01-23,Gamma Gizmo,511,461,42221.79
2023-01-23,Omega Orb,278,268,107160.86
2023-01-23,Theta Tool,263,187,23425.25
2023-01-23,Zeta Zone,449,381,221988.9
2023-01-24,Alpha Widget,383,297,44018.45
2023-01-24,Beta Gadget,249,188,50291.87
2023-01-24,Camera,412,291,243033.07
2023-01-24,Delta Device,241,202,40403.4
2023-01-24,Epsilon Engine,437,343,499621.33
2023-01-24,Gamma Gizmo,466,339,33067.75
2023-01-24,Omega Orb,325,257,107206.94
2023-01-24,Theta Tool,362,277,33796.63
2023-01-24,Zeta Zone,342,298,174140.88
2023-01-25,Alpha Widget,358,259,40726.15
2023-01-25,Beta Gadget,428,411,107749.6
2023-01-25,Camera,250,195,163644.12
2023-01-25,Delta Device,253,205,39843.95
2023-01-25,Epsilon Engine,471,356,492868.04
2023-01-25,Gamma Gizmo,478,459,41636.34
2023-01-25,Omega Orb,245,224,93909.31
2023-01-25,Theta Tool,350,265,34629.92
2023-01-25,Zeta Zone,278,211,122484.17
2023-01-26,Alpha Widget,278,257,38259.92
2023-01-26,Beta Gadget,485,375,100193.04
2023-01-26,Camera,204,159,126562.06
2023-01-26,Delta Device,424,321,59582.69
2023-01-26,Epsilon Engine,190,143,208582.93
2023-01-26,Gamma Gizmo,397,281,26435.3
2023-01-26,Omega Orb,218,185,73900.15
2023-01-26,Theta Tool,276,204,24683.47
2023-01-26,Zeta Zone,345,285,157179.99
2023-01-27,Alpha Widget,427,301,45690.37
2023-01-27,Beta Gadget,217,185,53011.84
2023-01-27,Camera,364,290,248229.81
2023-01-27,Delta Device,381,309,62770.41
2023-01-27,Epsilon Engine,328,287,417617.45
2023-01-27,Gamma Gizmo,329,319,30462.96
2023-01-27,Omega Orb,432,353,139144.08
2023-01-27,Theta Tool,204,143,18407.72
2023-01-27,Zeta Zone,475,388,215696.91
2023-01-28,Alpha Widget,387,305,43638.61
2023-01-28,Beta Gadget,533,484,136882.86
2023-01-28,Camera,498,487,397726.09
2023-01-28,Delta Device,239,223,44513.88
2023-01-28,Epsilon Engine,523,413,626045.06
2023-01-28,Gamma Gizmo,578,506,47121.34
2023-01-28,Omega Orb,309,272,109308.39
2023-01-28,Theta Tool,253,212,25581.83
2023-01-28,Zeta Zone,283,261,158940.42
2023-01-29,Alpha Widget,411,376,56721.57
2023-01-29,Beta Gadget,287,246,69182.9
2023-01-29,Camera,513,426,352159.16
2023-01-29,Delta Device,281,203,38298.87
2023-01-29,Epsilon Engine,316,231,320390.99
2023-01-29,Gamma Gizmo,319,266,25951.31
2023-01-29,Omega Orb,484,344,144894.58
2023-01-29,Theta Tool,402,380,46778.87
2023-01-29,Zeta Zone,477,346,193159.69
2023-01-30,Alpha Widget,360,315,47569.96
2023-01-30,Beta Gadget,316,261,70281.31
2023-01-30,Camera,503,445,378923.65
2023-01-30,Delta Device,237,228,45857.73
2023-01-30,Epsilon Engine,295,274,399972.7
2023-01-30,Gamma Gizmo,256,239,21862.97
2023-01-30,Omega Orb,331,236,94293.2
2023-01-30,Theta Tool,401,298,38463.04
2023-01-30,Zeta Zone,361,303,175751.18
2023-01-31,Alpha Widget,251,196,28703.28
2023-01-31,Beta Gadget,414,301,78933.84
2023-01-31,Camera,353,330,264087.97
2023-01-31,Delta Device,525,396,78993.89
2023-01-31,Epsilon Engine,509,429,646199.45
2023-01-31,Gamma Gizmo,249,225,21200.58
2023-01-31,Omega Orb,280,243,100566.31
2023-01-31,Theta Tool,415,309,37382.07
2023-01-31,Zeta Zone,352,258,151306.74
2023-02-01,Alpha Widget,265,214,32284.09
2023-02-01,Beta Gadget,430,329,91574.29
2023-02-01,Camera,246,185,150636.94
2023-02-01,Delta Device,507,443,85538.0
2023-02-01,Epsilon Engine,458,350,507972.9
2023-02-01,Gamma Gizmo,375,305,29057.3
2023-02-01,Omega Orb,355,311,125175.39
2023-02-01,Theta Tool,270,236,29897.54
2023-02-01,Zeta Zone,412,321,190599.7
2023-02-02,Alpha Widget,363,324,49183.81
2023-02-02,Beta Gadget,344,251,70014.76
2023-02-02,Camera,558,396,334710.73
2023-02-02,Delta Device,600,583,109006.62
2023-02-02,Epsilon Engine,434,384,554212.3
2023-02-02,Gamma Gizmo,477,434,41626.18
2023-02-02,Omega Orb,257,225,95065.8
2023-02-02,Theta Tool,553,515,64566.27
2023-02-02,Zeta Zone,553,448,272720.03
2023-02-03,Alpha Widget,451,324,49681.13
2023-02-03,Beta Gadget,404,386,101973.59
2023-02-03,Camera,353,312,245480.23
2023-02-03,Delta Device,541,469,92569.48
2023-02-03,Epsilon Engine,323,239,353207.35
2023-02-03,Gamma Gizmo,342,267,25872.68
2023-02-03,Omega Orb,423,303,130403.34
2023-02-03,Theta Tool,361,351,45370.27
2023-02-03,Zeta Zone,296,283,171690.99
2023-02-04,Alpha Widget,368,282,40680.25
2023-02-04,Beta Gadget,385,374,100832.57
2023-02-04,Camera,288,246,206751.82
2023-02-04,Delta Device,597,571,113341.54
2023-02-04,Epsilon Engine,276,270,406038.1
2023-02-04,Gamma Gizmo,560,542,52394.86
2023-02-04,Omega Orb,511,488,204046.01
2023-02-04,Theta Tool,519,405,50637.42
2023-02-04,Zeta Zone,492,411,247455.99
2023-02-05,Alpha Widget,474,406,62636.59
2023-02-05,Beta Gadget,333,279,78484.64
2023-02-05,Camera,625,460,375471.89
2023-02-05,Delta Device,280,197,36834.78
2023-02-05,Epsilon Engine,277,224,315554.39
2023-02-05,Gamma Gizmo,611,475,47159.47
2023-02-05,Omega Orb,512,382,159722.51
2023-02-05,Theta Tool,344,244,31990.61
2023-02-05,Zeta Zone,360,335,189776.03
2023-02-06,Alpha Widget,431,418,63976.53
2023-02-06,Beta Gadget,404,301,81271.27
2023-02-06,Camera,510,391,320671.35
2023-02-06,Delta Device,282,274,54348.41
2023-02-06,Epsilon Engine,374,359,513593.03
2023-02-06,Gamma Gizmo,254,231,22785.74
2023-02-06,Omega Orb,362,338,138150.53
2023-02-06,Theta Tool,448,384,47049.7
2023-02-06,Zeta Zone,281,202,120988.23
2023-02-07,Alpha Widget,221,192,29764.98
2023-02-07,Beta Gadget,593,462,121976.06
2023-02-07,Camera,460,339,269614.79
2023-02-07,Delta Device,383,332,65588.55
2023-02-07,Epsilon Engine,572,440,655053.82
2023-02-07,Gamma Gizmo,234,209,19307.07
2023-02-07,Omega Orb,512,412,164266.48
2023-02-07,Theta Tool,377,359,44478.36
2023-02-07,Zeta Zone,278,242,142154.13
2023-02-08,Alpha Widget,531,489,69957.79
2023-02-08,Beta Gadget,329,284,78322.14
2023-02-08,Camera,466,332,269776.89
2023-02-08,Delta Device,280,272,55666.15
2023-02-08,Epsilon Engine,395,295,418509.85
2023-02-08,Gamma Gizmo,415,300,28917.74
2023-02-08,Omega Orb,293,250,107332.43
2023-02-08,Theta Tool,461,404,48990.78
2023-02-08,Zeta Zone,472,406,226596.68
2023-02-09,Alpha Widget,404,356,51100.16
2023-02-09,Beta Gadget,458,350,98802.15
2023-02-09,Camera,601,507,403387.31
2023-02-09,Delta Device,348,271,55148.94
2023-02-09,Epsilon Engine,443,432,639465.94
2023-02-09,Gamma Gizmo,380,288,28406.71
2023-02-09,Omega Orb,457,391,157640.59
2023-02-09,Theta Tool,349,283,34607.07
2023-02-09,Zeta Zone,311,276,160957.73
2023-02-10,Alpha Widget,278,249,35731.08
2023-02-10,Beta Gadget,323,235,67116.34
2023-02-10,Camera,354,333,271404.03
2023-02-10,Delta Device,584,556,112111.49
2023-02-10,Epsilon Engine,356,299,436444.48
2023-02-10,Gamma Gizmo,375,350,32398.28
2023-02-10,Omega Orb,305,250,98901.92
2023-02-10,Theta Tool,476,339,40873.13
2023-02-10,Zeta Zone,396,348,198089.13
2023-02-11,Alpha Widget,402,325,49678.45
2023-02-11,Beta Gadget,418,332,91128.29
2023-02-11,Camera,617,516,406581.25
2023-02-11,Delta Device,342,311,61483.84
2023-02-11,Epsilon Engine,504,377,526626.01
2023-02-11,Gamma Gizmo,346,252,23841.68
2023-02-11,Omega Orb,627,515,201305.8
2023-02-11,Theta Tool,431,393,48092.29
2023-02-11,Zeta Zone,435,366,204470.06
2023-02-12,Alpha Widget,454,409,60832.29
2023-02-12,Beta Gadget,599,563,158879.04
2023-02-12,Camera,390,315,257258.66
2023-02-12,Delta Device,251,188,35495.76
2023-02-12,Epsilon Engine,555,461,647889.21
2023-02-12,Gamma Gizmo,638,596,58724.24
2023-02-12,Omega Orb,339,260,103447.32
2023-02-12,Theta Tool,379,302,37175.42
2023-02-12,Zeta Zone,581,566,316879.27
2023-02-13,Alpha Widget,402,320,49605.36
2023-02-13,Beta Gadget,444,328,92821.65
2023-02-13,Camera,528,483,376634.07
2023-02-13,Delta Device,259,243,48428.04
2023-02-13,Epsilon Engine,453,414,582416.79
2023-02-13,Gamma Gizmo,276,267,24540.05
2023-02-13,Omega Orb,504,480,204887.7
2023-02-13,Theta Tool,337,313,38205.25
2023-02-13,Zeta Zone,453,326,185107.04
2023-02-14,Alpha Widget,507,410,62045.01
2023-02-14,Beta Gadget,448,400,105060.93
2023-02-14,Camera,492,381,324383.97
2023-02-14,Delta Device,559,483,90210.32
2023-02-14,Epsilon Engine,386,331,499531.83
2023-02-14,Gamma Gizmo,473,360,34449.54
2023-02-14,Omega Orb,368,285,112335.03
2023-02-14,Theta Tool,362,302,36001.13
2023-02-14,Zeta Zone,443,423,249870.64
2023-02-15,Alpha Widget,494,359,53094.59
2023-02-15,Beta Gadget,391,273,75686.64
2023-02-15,Camera,487,365,311245.35
2023-02-15,Delta Device,530,398,74701.46
2023-02-15,Epsilon Engine,512,492,679048.22
2023-02-15,Gamma Gizmo,491,346,31597.3
2023-02-15,Omega Orb,320,226,93079.62
2023-02-15,Theta Tool,285,230,27357.13
2023-02-15,Zeta Zone,413,311,174017.06
2023-02-16,Alpha Widget,341,303,44742.26
2023-02-16,Beta Gadget,567,522,145519.09
2023-02-16,Camera,256,238,190809.01
2023-02-16,Delta Device,521,480,89006.31
2023-02-16,Epsilon Engine,549,446,673332.6
2023-02-16,Gamma Gizmo,363,282,26739.35
2023-02-16,Omega Orb,583,472,200063.36
2023-02-16,Theta Tool,500,380,49694.47
2023-02-16,Zeta Zone,530,473,270824.15
2023-02-17,Alpha Widget,270,246,36562.59
2023-02-17,Beta Gadget,549,518,144289.27
2023-02-17,Camera,495,380,320643.65
2023-02-17,Delta Device,340,311,57645.71
2023-02-17,Epsilon Engine,364,335,488188.38
2023-02-17,Gamma Gizmo,514,424,40314.07
2023-02-17,Omega Orb,547,482,194034.72
2023-02-17,Theta Tool,380,302,38310.13
2023-02-17,Zeta Zone,564,552,327644.04
2023-02-18,Alpha Widget,391,300,43890.53
2023-02-18,Beta Gadget,646,537,152252.62
2023-02-18,Camera,598,457,378199.85
2023-02-18,Delta Device,447,426,85394.54
2023-02-18,Epsilon Engine,451,425,626952.55
2023-02-18,Gamma Gizmo,323,233,21512.84
2023-02-18,Omega Orb,449,420,175193.72
2023-02-18,Theta Tool,553,435,55149.55
2023-02-18,Zeta Zone,497,469,276388.45
2023-02-19,Alpha Widget,413,396,57519.4
2023-02-19,Beta Gadget,471,378,99557.19
2023-02-19,Camera,310,270,230406.01
2023-02-19,Delta Device,534,455,84524.59
2023-02-19,Epsilon Engine,612,504,740240.75
2023-02-19,Gamma Gizmo,554,405,39284.05
2023-02-19,Omega Orb,457,395,166185.68
2023-02-19,Theta Tool,272,235,29214.9
2023-02-19,Zeta Zone,462,371,220396.55
2023-02-20,Alpha Widget,449,323,48045.75
2023-02-20,Beta Gadget,479,339,94618.32
2023-02-20,Camera,507,470,376957.83
2023-02-20,Delta Device,478,428,85645.58
2023-02-20,Epsilon Engine,345,254,383505.48
2023-02-20,Gamma Gizmo,407,359,33473.55
2023-02-20,Omega Orb,460,371,153766.51
2023-02-20,Theta Tool,318,245,29906.05
2023-02-20,Zeta Zone,528,392,224977.54
2023-02-21,Alpha Widget,288,219,31418.8
2023-02-21,Beta Gadget,300,271,71293.44
2023-02-21,Camera,266,258,207538.84
2023-02-21,Delta Device,505,464,87488.92
2023-02-21,Epsilon Engine,418,394,575483.05
2023-02-21,Gamma Gizmo,550,419,38866.79
2023-02-21,Omega Orb,276,200,85165.17
2023-02-21,Theta Tool,280,249,31362.64
2023-02-21,Zeta Zone,514,488,279698.94
2023-02-22,Alpha Widget,583,507,72650.1
2023-02-22,Beta Gadget,265,230,65205.05
2023-02-22,Camera,319,236,185224.67
2023-02-22,Delta Device,579,458,85877.61
2023-02-22,Epsilon Engine,361,279,423257.61
2023-02-22,Gamma Gizmo,287,261,24657.67
2023-02-22,Omega Orb,469,436,176521.38
2023-02-22,Theta Tool,286,274,35615.77
2023-02-22,Zeta Zone,576,514,294106.14
2023-02-23,Alpha Widget,390,370,54650.45
2023-02-23,Beta Gadget,476,370,100646.73
2023-02-23,Camera,296,209,179166.68
2023-02-23,Delta Device,377,272,52329.23
2023-02-23,Epsilon Engine,333,274,398017.93
2023-02-23,Gamma Gizmo,542,382,36937.72
2023-02-23,Omega Orb,374,317,133900.85
2023-02-23,Theta Tool,367,334,41549.53
2023-02-23,Zeta Zone,279,240,132445.81
2023-02-24,Alpha Widget,511,372,56441.91
2023-02-24,Beta Gadget,589,437,120751.9
2023-02-24,Camera,268,203,162902.41
2023-02-24,Delta Device,427,364,67509.55
2023-02-24,Epsilon Engine,311,266,371404.05
2023-02-24,Gamma Gizmo,540,420,41702.32
2023-02-24,Omega Orb,264,207,87442.61
2023-02-24,Theta Tool,247,201,25222.35
2023-02-24,Zeta Zone,254,183,106994.22
2023-02-25,Alpha Widget,367,316,48239.35
2023-02-25,Beta Gadget,508,473,129260.17
2023-02-25,Camera,669,599,513384.61
2023-02-25,Delta Device,334,252,47231.25
2023-02-25,Epsilon Engine,704,564,823133.6
2023-02-25,Gamma Gizmo,594,484,47887.68
2023-02-25,Omega Orb,310,238,101561.03
2023-02-25,Theta Tool,606,444,52749.56
2023-02-25,Zeta Zone,517,473,272965.35
2023-02-26,Alpha Widget,359,337,51188.99
2023-02-26,Beta Gadget,456,402,112368.6
2023-02-26,Camera,614,518,424296.95
2023-02-26,Delta Device,538,434,83582.98
2023-02-26,Epsilon Engine,475,439,636269.53
2023-02-26,Gamma Gizmo,506,436,43245.21
2023-02-26,Omega Orb,622,545,227555.84
2023-02-26,Theta Tool,355,262,31885.67
2023-02-26,Zeta Zone,639,476,285045.95
2023-02-27,Alpha Widget,482,435,68221.17
2023-02-27,Beta Gadget,373,352,100947.42
2023-02-27,Camera,585,498,419026.75
2023-02-27,Delta Device,327,308,57725.88
2023-02-27,Epsilon Engine,238,230,340612.72
2023-02-27,Gamma Gizmo,513,497,47987.6
2023-02-27,Omega Orb,444,385,163595.19
2023-02-27,Theta Tool,566,454,54325.88
2023-02-27,Zeta Zone,380,294,166185.74
2023-02-28,Alpha Widget,262,229,33842.92
2023-02-28,Beta Gadget,422,369,96756.33
2023-02-28,Camera,545,471,390901.32
2023-02-28,Delta Device,426,408,80678.25
2023-02-28,Epsilon Engine,249,227,326667.79
2023-02-28,Gamma Gizmo,586,434,42273.19
2023-02-28,Omega Orb,323,309,129230.57
2023-02-28,Theta Tool,466,416,52743.54
2023-02-28,Zeta Zone,339,286,161125.8
2023-03-01,Alpha Widget,340,285,43827.77
2023-03-01,Beta Gadget,616,466,123089.47
2023-03-01,Camera,445,405,315533.25
2023-03-01,Delta Device,401,343,64155.51
2023-03-01,Epsilon Engine,552,479,699046.09
2023-03-01,Gamma Gizmo,552,528,47665.17
2023-03-01,Omega Orb,514,388,162982.67
2023-03-01,Theta Tool,514,452,57343.41
2023-03-01,Zeta Zone,267,222,130001.83
2023-03-02,Alpha Widget,560,500,77529.21
2023-03-02,Beta Gadget,584,551,159198.74
2023-03-02,Camera,600,515,403316.69
2023-03-02,Delta Device,416,335,67025.2
2023-03-02,Epsilon Engine,470,424,584482.9
2023-03-02,Gamma Gizmo,619,511,48138.05
2023-03-02,Omega Orb,297,254,99110.45
2023-03-02,Theta Tool,323,267,32580.46
2023-03-02,Zeta Zone,291,205,113706.32
2023-03-03,Alpha Widget,490,446,67096.38
2023-03-03,Beta Gadget,528,406,106496.7
2023-03-03,Camera,386,339,280308.36
2023-03-03,Delta Device,571,538,105151.89
2023-03-03,Epsilon Engine,285,234,343941.85
2023-03-03,Gamma Gizmo,524,385,37849.84
2023-03-03,Omega Orb,548,416,164547.0
2023-03-03,Theta Tool,464,376,47943.71
2023-03-03,Zeta Zone,368,355,205983.03
2023-03-04,Alpha Widget,442,337,52363.64
2023-03-04,Beta Gadget,347,276,73840.93
2023-03-04,Camera,504,395,325350.26
2023-03-04,Delta Device,441,419,80996.99
2023-03-04,Epsilon Engine,492,450,665502.0
2023-03-04,Gamma Gizmo,384,331,30137.51
2023-03-04,Omega Orb,461,425,166829.97
2023-03-04,Theta Tool,459,435,52087.31
2023-03-04,Zeta Zone,575,429,247937.7
2023-03-05,Alpha Widget,603,550,82893.7
2023-03-05,Beta Gadget,444,342,91985.76
2023-03-05,Camera,513,490,393996.21
2023-03-05,Delta Device,421,296,56576.63
2023-03-05,Epsilon Engine,649,511,741614.78
2023-03-05,Gamma Gizmo,372,265,24446.05
2023-03-05,Omega Orb,584,472,185509.48
2023-03-05,Theta Tool,295,211,27364.09
2023-03-05,Zeta Zone,456,326,186074.87
2023-03-06,Alpha Widget,654,538,77702.25
2023-03-06,Beta Gadget,459,373,106826.11
2023-03-06,Camera,524,428,361283.6
2023-03-06,Delta Device,436,362,67682.49
2023-03-06,Epsilon Engine,541,469,692943.51
2023-03-06,Gamma Gizmo,327,290,27915.45
2023-03-06,Omega Orb,459,416,178895.36
2023-03-06,Theta Tool,260,183,22123.74
2023-03-06,Zeta Zone,631,610,341377.03
2023-03-07,Alpha Widget,458,367,55513.22
2023-03-07,Beta Gadget,609,450,118770.06
2023-03-07,Camera,559,511,411170.02
2023-03-07,Delta Device,385,355,69137.73
2023-03-07,Epsilon Engine,561,531,763914.85
2023-03-07,Gamma Gizmo,535,423,39516.98
2023-03-07,Omega Orb,325,244,95734.28
2023-03-07,Theta Tool,444,339,43423.65
2023-03-07,Zeta Zone,594,524,313361.19
2023-03-08,Alpha Widget,558,516,78004.3
